left	leftchr	leftloc	leftstrand	leftcentromere	right	rightchr	rightloc	rightstrand	rightcentromere	samples	mutations	papers	leftnum	rightnum	fusion
SFPQ	1	35641979	-1	123250000	TFE3	X	48886242	-1	59350000	4	3	8	1	0	SFPQ-TFE3
SLC22A1	6	160542821	1	59850000	CUTA	6	33384219	-1	59850000	1	1	1	1	0	SLC22A1-CUTA
SLC26A6	3	48663156	-1	89450000	PRKAR2A	3	48782030	-1	89450000	1	1	1	1	0	SLC26A6-PRKAR2A
SLC34A2	4	25656923	1	49300000	ROS1	6	117609463	-1	59850000	1345	12	44	0	1	SLC34A2-ROS1
SLC45A3	1	205626979	-1	123250000	BRAF	7	140419127	-1	58950000	6	1	3	0	1	SLC45A3-BRAF
SLC45A3	1	205626979	-1	123250000	ELK4	1	205577071	-1	123250000	21	9	2	0	1	SLC45A3-ELK4
SLC45A3	1	205626979	-1	123250000	ERG	21	39751949	-1	12050000	260	47	3	0	1	SLC45A3-ERG
SLC45A3	1	205626979	-1	123250000	ETV1	7	13930853	-1	58950000	218	2	3	0	0	SLC45A3-ETV1
SLC45A3	1	205626979	-1	123250000	ETV5	3	185764097	-1	89450000	1	1	1	0	1	SLC45A3-ETV5
SND1	7	127292234	1	58950000	BRAF	7	140419127	-1	58950000	11	6	2	1	1	SND1-BRAF
SQSTM1	5	179233388	1	47250000	ALK	2	29415640	-1	91900000	1	1	3	1	0	SQSTM1-ALK
SRGAP3	3	9022275	-1	89450000	RAF1	3	12625100	-1	89450000	53	4	9	1	0	SRGAP3-RAF1
SS18	18	23596578	-1	16300000	SSX1	X	48114752	1	59350000	1313	577	136	0	1	SS18-SSX1
SS18	18	23596578	-1	16300000	SSX2	X	52725946	-1	59350000	1314	348	137	0	0	SS18-SSX2
SS18	18	23596578	-1	16300000	SSX4	X	48242863	1	59350000	259	6	19	0	1	SS18-SSX4
SS18L1	20	60718822	1	26550000	SSX1	X	48114752	1	59350000	1	1	1	1	1	SS18L1-SSX1
SSBP2	5	80708840	-1	47250000	JAK2	9	4985033	1	48150000	132	1	4	0	1	SSBP2-JAK2
SSH2	17	27952956	-1	23100000	SUZ12	17	30264037	1	23100000	1	1	1	0	0	SSH2-SUZ12
STIL	1	47715811	-1	123250000	TAL1	1	47681962	-1	123250000	1771	284	29	1	0	STIL-TAL1
STRN	2	37070783	-1	91900000	ALK	2	29415640	-1	91900000	556	13	5	1	0	STRN-ALK
SUSD1	9	114803065	-1	48150000	PTBP3	9	114980715	-1	48150000	1	1	1	0	1	SUSD1-PTBP3
TADA2A	17	35766965	1	23100000	MAST1	19	12944765	1	25450000	153	1	1	1	1	TADA2A-MAST1
TAF15	17	34136459	1	23100000	NR4A3	9	102584137	1	48150000	65	16	11	1	0	TAF15-NR4A3
TBL1XR1	3	176737143	-1	89450000	TP63	3	189349205	1	89450000	287	9	2	0	0	TBL1XR1-TP63
TCEA1	8	54879112	-1	44350000	PLAG1	8	57073463	-1	44350000	99	2	8	0	1	TCEA1-PLAG1
TCF12	15	57210821	1	17400000	NR4A3	9	102584137	1	48150000	1	1	4	1	0	TCF12-NR4A3
TCF3	19	1609291	-1	25450000	PBX1	1	164524821	1	123250000	3645	301	53	1	0	TCF3-PBX1
TECTA	11	120971882	1	52650000	TBCEL	11	120894781	1	52650000	1	1	1	1	0	TECTA-TBCEL
TFG	3	100428205	1	89450000	ALK	2	29415640	-1	91900000	340	5	25	1	0	TFG-ALK
TFG	3	100428205	1	89450000	NR4A3	9	102584137	1	48150000	4	1	1	1	0	TFG-NR4A3
TFG	3	100428205	1	89450000	NTRK1	1	156785432	1	123250000	495	2	26	1	0	TFG-NTRK1
THRAP3	1	36690017	1	123250000	USP6	17	5019733	1	23100000	1	1	2	0	1	THRAP3-USP6
TMPRSS2	21	42836478	-1	12050000	ERG	21	39751949	-1	12050000	6264	2623	115	0	1	TMPRSS2-ERG
TMPRSS2	21	42836478	-1	12050000	ETV1	7	13930853	-1	58950000	1078	21	34	0	0	TMPRSS2-ETV1
TMPRSS2	21	42836478	-1	12050000	ETV4	17	41605212	-1	23100000	418	10	19	0	1	TMPRSS2-ETV4
TMPRSS2	21	42836478	-1	12050000	ETV5	3	185764097	-1	89450000	1	1	4	0	1	TMPRSS2-ETV5
TP53	17	7565097	-1	23100000	NTRK1	1	156785432	1	123250000	38	1	2	1	0	TP53-NTRK1
TPM3	1	154127784	-1	123250000	ALK	2	29415640	-1	91900000	231	25	27	0	0	TPM3-ALK
TPM3	1	154127784	-1	123250000	NTRK1	1	156785432	1	123250000	629	32	34	0	0	TPM3-NTRK1
TPM3	1	154127784	-1	123250000	ROS1	6	117609463	-1	59850000	38	1	1	0	1	TPM3-ROS1
TPM3	1	154127784	-1	123250000	ROS1	6	117609463	-1	59850000	399	2	12	0	1	TPM3-ROS1
TPM4	19	16177831	1	25450000	ALK	2	29415640	-1	91900000	27	6	14	0	0	TPM4-ALK
TRIM24	7	138145079	1	58950000	RET	10	43572475	1	39100000	146	1	10	1	0	TRIM24-RET
TRIM27	6	28870779	-1	59850000	RET	10	43572475	1	39100000	71	1	7	1	0	TRIM27-RET
TRIM33	1	114935399	-1	123250000	RET	10	43572475	1	39100000	146	1	13	1	0	TRIM33-RET
UBE2L3	22	21903736	1	13450000	KRAS	12	25357723	-1	34550000	1	1	1	1	0	UBE2L3-KRAS
VCL	10	75757872	1	39100000	ALK	2	29415640	-1	91900000	2	2	5	1	0	VCL-ALK
VTI1A	10	114206756	1	39100000	TCF7L2	10	114710009	1	39100000	98	4	1	1	0	VTI1A-TCF7L2
YWHAE	17	1247566	-1	23100000	NUTM2A	10	88985205	1	39100000	685	2	8	1	0	YWHAE-NUTM2A
YWHAE	17	1247566	-1	23100000	NUTM2B	10	81462983	1	39100000	736	13	8	1	0	YWHAE-NUTM2B
ZC3H7B	22	41697526	1	13450000	BCOR	X	39909068	-1	59350000	4	2	2	1	0	ZC3H7B-BCOR
ZCCHC8	12	122957417	-1	34550000	ROS1	6	117609463	-1	59850000	38	1	1	0	1	ZCCHC8-ROS1
ZNF700	19	12035883	1	25450000	MAST1	19	12944765	1	25450000	153	1	1	0	1	ZNF700-MAST1
ZSCAN30	18	32831032	-1	16300000	BRAF	7	140419127	-1	58950000	11	1	1	0	1	ZSCAN30-BRAF
